,n_up,n_down,dimension,interaction_type,n_basis,lambda,coupling,G_up,G_dn,N,spectrum
251,3,1,1,bare,10,0.0,2.45,0.0,0.0,11,9.155442430570966
252,3,1,1,bare,10,0.0,2.45,0.0,0.0,12,9.367929266271126
253,3,1,1,bare,10,0.0,2.45,0.0,0.0,13,9.416012295729992
254,3,1,1,bare,10,0.0,2.45,0.0,0.0,14,9.510255533306461
255,3,1,1,bare,10,0.0,2.95,0.0,0.0,0,6.683568777628756
256,3,1,1,bare,10,0.0,2.95,0.0,0.0,1,7.271151617973514
257,3,1,1,bare,10,0.0,2.95,0.0,0.0,2,7.700593128192665
258,3,1,1,bare,10,0.0,2.95,0.0,0.0,3,7.735795489656343
259,3,1,1,bare,10,0.0,2.95,0.0,0.0,4,7.999999999999985
260,3,1,1,bare,10,0.0,2.95,0.0,0.0,5,8.28484791952755
261,3,1,1,bare,10,0.0,2.95,0.0,0.0,6,8.61992012597847
262,3,1,1,bare,10,0.0,2.95,0.0,0.0,7,8.720710285595748
263,3,1,1,bare,10,0.0,2.95,0.0,0.0,8,8.740847996424874
264,3,1,1,bare,10,0.0,2.95,0.0,0.0,9,9.000000000000007
265,3,1,1,bare,10,0.0,2.95,0.0,0.0,10,9.234831811367687
266,3,1,1,bare,10,0.0,2.95,0.0,0.0,11,9.296713384362778
267,3,1,1,bare,10,0.0,2.95,0.0,0.0,12,9.585515579350407
268,3,1,1,bare,10,0.0,2.95,0.0,0.0,13,9.633840949733955
269,3,1,1,bare,10,0.0,2.95,0.0,0.0,14,9.713945252283827
270,3,1,1,bare,10,0.0,3.45,0.0,0.0,0,6.869626172580477
271,3,1,1,bare,10,0.0,3.45,0.0,0.0,1,7.384472752815668
272,3,1,1,bare,10,0.0,3.45,0.0,0.0,2,7.780944458150122
273,3,1,1,bare,10,0.0,3.45,0.0,0.0,3,7.890978107198327
274,3,1,1,bare,10,0.0,3.45,0.0,0.0,4,7.999999999999997
275,3,1,1,bare,10,0.0,3.45,0.0,0.0,5,8.400607348687888
276,3,1,1,bare,10,0.0,3.45,0.0,0.0,6,8.78645864739964
277,3,1,1,bare,10,0.0,3.45,0.0,0.0,7,8.813259151154023
278,3,1,1,bare,10,0.0,3.45,0.0,0.0,8,8.916445968654171
279,3,1,1,bare,10,0.0,3.45,0.0,0.0,9,9.000000000000021
280,3,1,1,bare,10,0.0,3.45,0.0,0.0,10,9.358157904169849
281,3,1,1,bare,10,0.0,3.45,0.0,0.0,11,9.414740514656753
282,3,1,1,bare,10,0.0,3.45,0.0,0.0,12,9.764115941306558
283,3,1,1,bare,10,0.0,3.45,0.0,0.0,13,9.783500386819872
284,3,1,1,bare,10,0.0,3.45,0.0,0.0,14,9.792037441125496
285,3,1,1,bare,10,0.0,3.95,0.0,0.0,0,7.031977520489407
286,3,1,1,bare,10,0.0,3.95,0.0,0.0,1,7.479218603086801
287,3,1,1,bare,10,0.0,3.95,0.0,0.0,2,7.816997002626608
288,3,1,1,bare,10,0.0,3.95,0.0,0.0,3,8.000000000000007
289,3,1,1,bare,10,0.0,3.95,0.0,0.0,4,8.057429009083732
290,3,1,1,bare,10,0.0,3.95,0.0,0.0,5,8.497428061504092
291,3,1,1,bare,10,0.0,3.95,0.0,0.0,6,8.822862842906792
292,3,1,1,bare,10,0.0,3.95,0.0,0.0,7,8.986770555002403
293,3,1,1,bare,10,0.0,3.95,0.0,0.0,8,8.999999999999977
294,3,1,1,bare,10,0.0,3.95,0.0,0.0,9,9.088081290658241
295,3,1,1,bare,10,0.0,3.95,0.0,0.0,10,9.462739868493713
296,3,1,1,bare,10,0.0,3.95,0.0,0.0,11,9.513625182531563
297,3,1,1,bare,10,0.0,3.95,0.0,0.0,12,9.804188265691577
298,3,1,1,bare,10,0.0,3.95,0.0,0.0,13,9.828846382181569
299,3,1,1,bare,10,0.0,3.95,0.0,0.0,14,9.961726778681555
300,3,1,1,bare,10,0.0,4.45,0.0,0.0,0,7.173395293019761
301,3,1,1,bare,10,0.0,4.45,0.0,0.0,1,7.558904150651673
302,3,1,1,bare,10,0.0,4.45,0.0,0.0,2,7.8462897954437185
303,3,1,1,bare,10,0.0,4.45,0.0,0.0,3,8.000000000000053
304,3,1,1,bare,10,0.0,4.45,0.0,0.0,4,8.20259164567272
305,3,1,1,bare,10,0.0,4.45,0.0,0.0,5,8.578846591669027
306,3,1,1,bare,10,0.0,4.45,0.0,0.0,6,8.852427123612568
307,3,1,1,bare,10,0.0,4.45,0.0,0.0,7,8.99999999999999
308,3,1,1,bare,10,0.0,4.45,0.0,0.0,8,9.141803035742166
309,3,1,1,bare,10,0.0,4.45,0.0,0.0,9,9.238101337406219
310,3,1,1,bare,10,0.0,4.45,0.0,0.0,10,9.551476830124528
311,3,1,1,bare,10,0.0,4.45,0.0,0.0,11,9.596934649649715
312,3,1,1,bare,10,0.0,4.45,0.0,0.0,12,9.836747492755165
313,3,1,1,bare,10,0.0,4.45,0.0,0.0,13,9.858737486346818
314,3,1,1,bare,10,0.0,4.45,0.0,0.0,14,9.999999999999977
315,3,1,1,bare,10,0.0,4.95,0.0,0.0,0,7.296602803373047
